tournum tourtype week period day shiftlength startwin
1 2 1 11 4 16 11
1 2 2 11 4 16 11
1 2 4 11 5 16 11
1 2 2 11 6 16 11
1 2 4 12 2 16 11
1 2 2 12 3 16 11
1 2 3 12 4 16 11
1 2 1 12 6 16 11
1 2 3 12 6 16 11
1 2 4 12 6 16 11
2 3 1 11 2 20 11
2 3 1 11 3 20 11
2 3 2 11 3 20 11
2 3 2 11 5 20 11
2 3 3 11 5 20 11
2 3 3 12 2 20 11
2 3 4 12 2 20 11
2 3 4 12 3 20 11
2 3 1 12 4 20 11
2 3 2 12 4 20 11
2 3 3 12 4 20 11
2 3 4 12 5 20 11
2 3 1 12 6 20 11
2 3 2 12 6 20 11
2 3 3 12 6 20 11
2 3 4 12 6 20 11
3 3 2 11 2 20 11
3 3 4 11 2 20 11
3 3 1 11 3 20 11
3 3 2 11 3 20 11
3 3 1 11 4 20 11
3 3 2 11 5 20 11
3 3 4 11 6 20 11
3 3 1 12 2 20 11
3 3 3 12 2 20 11
3 3 4 12 3 20 11
3 3 2 12 4 20 11
3 3 3 12 4 20 11
3 3 3 12 5 20 11
3 3 4 12 5 20 11
3 3 1 12 6 20 11
3 3 3 12 6 20 11
4 1 1 12 2 16 12
4 1 4 12 2 16 12
4 1 1 12 3 16 12
4 1 4 12 3 16 12
4 1 2 12 4 16 12
4 1 3 12 4 16 12
4 1 4 12 4 16 12
4 1 2 12 5 16 12
4 1 4 12 5 16 12
4 1 1 12 6 16 12
4 1 2 12 6 16 12
4 1 2 13 2 16 12
4 1 3 13 2 16 12
4 1 2 13 3 16 12
4 1 3 13 3 16 12
4 1 1 13 4 16 12
4 1 1 13 5 16 12
4 1 3 13 5 16 12
4 1 3 13 6 16 12
4 1 4 13 6 16 12
5 3 2 12 2 20 12
5 3 2 12 3 20 12
5 3 3 12 3 20 12
5 3 4 12 3 20 12
5 3 2 12 4 20 12
5 3 3 12 4 20 12
5 3 4 12 4 20 12
5 3 1 12 5 20 12
5 3 3 12 5 20 12
5 3 4 12 5 20 12
5 3 1 13 2 20 12
5 3 1 13 3 20 12
5 3 1 13 4 20 12
5 3 2 13 6 20 12
5 3 3 13 6 20 12
5 3 4 13 6 20 12
6 2 1 14 2 16 14
6 2 2 14 2 16 14
6 2 4 14 2 16 14
6 2 2 14 3 16 14
6 2 3 14 3 16 14
6 2 4 14 3 16 14
6 2 2 14 4 16 14
6 2 4 14 4 16 14
6 2 3 14 6 16 14
6 2 1 15 6 16 14
7 2 2 14 2 16 14
7 2 4 14 3 16 14
7 2 1 14 4 16 14
7 2 2 14 4 16 14
7 2 1 14 5 16 14
7 2 2 14 5 16 14
7 2 4 14 6 16 14
7 2 3 15 2 16 14
7 2 4 15 2 16 14
7 2 3 15 4 16 14
8 3 1 14 2 20 14
8 3 2 14 3 20 14
8 3 3 14 4 20 14
8 3 3 14 5 20 14
8 3 3 15 2 20 14
8 3 4 15 2 20 14
8 3 1 15 3 20 14
8 3 1 15 4 20 14
8 3 2 15 4 20 14
8 3 4 15 4 20 14
8 3 2 15 5 20 14
8 3 4 15 5 20 14
8 3 1 15 6 20 14
8 3 2 15 6 20 14
8 3 3 15 6 20 14
8 3 4 15 6 20 14
9 2 3 16 2 16 16
9 2 4 16 2 16 16
9 2 3 16 3 16 16
9 2 1 16 4 16 16
9 2 4 16 6 16 16
9 2 2 17 3 16 16
9 2 4 17 3 16 16
9 2 2 17 4 16 16
9 2 2 17 5 16 16
9 2 1 17 6 16 16
10 2 3 16 2 16 16
10 2 2 16 3 16 16
10 2 3 16 3 16 16
10 2 2 16 4 16 16
10 2 2 16 5 16 16
10 2 4 16 5 16 16
10 2 4 16 6 16 16
10 2 1 17 2 16 16
10 2 4 17 2 16 16
10 2 1 17 3 16 16
11 2 1 16 2 16 16
11 2 4 16 2 16 16
11 2 2 16 3 16 16
11 2 4 16 3 16 16
11 2 1 16 4 16 16
11 2 3 16 4 16 16
11 2 2 17 2 16 16
11 2 4 17 4 16 16
11 2 2 17 5 16 16
11 2 3 17 6 16 16
12 2 1 16 2 16 16
12 2 1 16 3 16 16
12 2 3 16 3 16 16
12 2 2 16 4 16 16
12 2 3 16 4 16 16
12 2 4 16 6 16 16
12 2 2 17 2 16 16
12 2 4 17 4 16 16
12 2 4 17 5 16 16
12 2 2 17 6 16 16
13 2 4 16 2 16 16
13 2 2 16 4 16 16
13 2 3 16 4 16 16
13 2 1 16 5 16 16
13 2 3 16 5 16 16
13 2 4 16 6 16 16
13 2 2 17 2 16 16
13 2 4 17 3 16 16
13 2 1 17 6 16 16
13 2 2 17 6 16 16
14 2 3 17 2 16 17
14 2 3 17 3 16 17
14 2 4 17 3 16 17
14 2 4 17 4 16 17
14 2 1 17 5 16 17
14 2 1 17 6 16 17
14 2 2 18 2 16 17
14 2 2 18 3 16 17
14 2 2 18 4 16 17
14 2 4 18 5 16 17
15 2 2 17 3 16 17
15 2 1 17 4 16 17
15 2 1 17 6 16 17
15 2 3 18 3 16 17
15 2 3 18 4 16 17
15 2 4 18 4 16 17
15 2 2 18 5 16 17
15 2 4 18 5 16 17
15 2 2 18 6 16 17
15 2 4 18 6 16 17
16 2 3 17 2 16 17
16 2 3 17 3 16 17
16 2 4 17 3 16 17
16 2 2 17 5 16 17
16 2 4 17 5 16 17
16 2 1 17 6 16 17
16 2 1 18 2 16 17
16 2 2 18 4 16 17
16 2 4 18 4 16 17
16 2 2 18 6 16 17
17 2 1 17 2 16 17
17 2 4 17 2 16 17
17 2 2 17 3 16 17
17 2 2 17 4 16 17
17 2 2 17 5 16 17
17 2 4 17 6 16 17
17 2 4 18 3 16 17
17 2 3 18 4 16 17
17 2 1 18 6 16 17
17 2 3 18 6 16 17
18 2 1 17 2 16 17
18 2 2 17 2 16 17
18 2 3 17 3 16 17
18 2 2 17 4 16 17
18 2 4 17 6 16 17
18 2 3 18 2 16 17
18 2 1 18 3 16 17
18 2 4 18 3 16 17
18 2 4 18 4 16 17
18 2 2 18 5 16 17
19 3 3 17 2 20 17
19 3 4 17 2 20 17
19 3 1 17 3 20 17
19 3 2 17 4 20 17
19 3 4 17 4 20 17
19 3 3 17 5 20 17
19 3 4 17 5 20 17
19 3 1 17 6 20 17
19 3 2 17 6 20 17
19 3 3 17 6 20 17
19 3 2 18 2 20 17
19 3 2 18 3 20 17
19 3 3 18 3 20 17
19 3 1 18 4 20 17
19 3 1 18 5 20 17
19 3 4 18 6 20 17
20 2 3 18 2 16 18
20 2 2 18 3 16 18
20 2 3 18 3 16 18
20 2 4 18 4 16 18
20 2 2 18 6 16 18
20 2 4 19 2 16 18
20 2 1 19 4 16 18
20 2 2 19 4 16 18
20 2 1 19 6 16 18
20 2 4 19 6 16 18
21 3 2 18 2 20 18
21 3 1 18 4 20 18
21 3 3 18 5 20 18
21 3 3 19 2 20 18
21 3 1 19 3 20 18
21 3 2 19 3 20 18
21 3 4 19 3 20 18
21 3 3 19 4 20 18
21 3 4 19 4 20 18
21 3 1 19 5 20 18
21 3 2 19 5 20 18
21 3 4 19 5 20 18
21 3 1 19 6 20 18
21 3 2 19 6 20 18
21 3 3 19 6 20 18
21 3 4 19 6 20 18
22 3 1 18 2 20 18
22 3 2 18 2 20 18
22 3 1 18 4 20 18
22 3 2 18 4 20 18
22 3 3 18 5 20 18
22 3 3 19 2 20 18
22 3 4 19 2 20 18
22 3 3 19 3 20 18
22 3 4 19 3 20 18
22 3 4 19 4 20 18
22 3 1 19 5 20 18
22 3 2 19 5 20 18
22 3 1 19 6 20 18
22 3 2 19 6 20 18
22 3 3 19 6 20 18
22 3 4 19 6 20 18
23 3 1 18 2 20 18
23 3 2 18 2 20 18
23 3 3 18 2 20 18
23 3 3 18 3 20 18
23 3 2 18 4 20 18
23 3 4 18 5 20 18
23 3 2 18 6 20 18
23 3 4 18 6 20 18
23 3 4 19 3 20 18
23 3 1 19 4 20 18
23 3 3 19 4 20 18
23 3 4 19 4 20 18
23 3 1 19 5 20 18
23 3 2 19 5 20 18
23 3 3 19 5 20 18
23 3 1 19 6 20 18
24 3 1 18 2 20 18
24 3 3 18 2 20 18
24 3 2 18 3 20 18
24 3 4 18 3 20 18
24 3 1 18 4 20 18
24 3 2 18 5 20 18
24 3 4 18 6 20 18
24 3 2 19 2 20 18
24 3 4 19 2 20 18
24 3 1 19 3 20 18
24 3 3 19 3 20 18
24 3 2 19 4 20 18
24 3 3 19 4 20 18
24 3 4 19 4 20 18
24 3 3 19 5 20 18
24 3 1 19 6 20 18
25 2 3 19 3 16 19
25 2 1 19 6 16 19
25 2 1 20 2 16 19
25 2 2 20 2 16 19
25 2 4 20 2 16 19
25 2 2 20 3 16 19
25 2 2 20 4 16 19
25 2 4 20 4 16 19
25 2 3 20 5 16 19
25 2 4 20 6 16 19
26 2 1 19 2 16 19
26 2 3 19 2 16 19
26 2 2 19 4 16 19
26 2 2 19 5 16 19
26 2 3 19 5 16 19
26 2 4 19 5 16 19
26 2 2 20 2 16 19
26 2 4 20 2 16 19
26 2 4 20 3 16 19
26 2 1 20 4 16 19
27 2 2 20 3 16 20
27 2 3 20 3 16 20
27 2 4 20 3 16 20
27 2 1 20 5 16 20
27 2 4 20 6 16 20
27 2 1 21 2 16 20
27 2 2 21 4 16 20
27 2 4 21 5 16 20
