n,i,t,p,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_1,4_2,4_3,4_4,4_5,4_6,4_7
31,25,1,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,28,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,29,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,29,1,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
35,30,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,30,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,30,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,30,1,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,32,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
43,32,1,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,32,1,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
45,43,1,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
46,46,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
47,48,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
48,48,1,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0


n,i,t,dummy,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_1,4_2,4_3,4_4,4_5,4_6,4_7
1,11,1, x, 1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,-0.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,-0.0
2,14,1, x, -0.0,2.0,3.0,3.0,3.0,3.0,1.0,-0.0,2.0,3.0,3.0,3.0,2.0,2.0,-0.0,2.0,3.0,3.0,3.0,3.0,1.0,-0.0,2.0,3.0,3.0,3.0,2.0,2.0
3,16,1, x, 1.0,1.0,1.0,-0.0,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0
4,17,1, x, 1.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0
5,18,1, x, 1.0,7.0,6.0,6.0,7.0,7.0,1.0,1.0,7.0,6.0,7.0,7.0,6.0,1.0,1.0,7.0,7.0,7.0,7.0,5.0,1.0,1.0,7.0,6.0,7.0,7.0,6.0,1.0
6,20,1, x, -0.0,2.0,2.0,2.0,1.0,2.0,1.0,-0.0,2.0,2.0,2.0,1.0,2.0,1.0,-0.0,2.0,2.0,2.0,1.0,2.0,1.0,-0.0,2.0,2.0,2.0,1.0,2.0,1.0
7,21,1, x, -0.0,3.0,3.0,3.0,3.0,3.0,-0.0,-0.0,3.0,3.0,3.0,3.0,3.0,-0.0,-0.0,3.0,3.0,3.0,3.0,3.0,-0.0,-0.0,3.0,3.0,3.0,3.0,3.0,-0.0
8,22,1, x, 1.0,2.0,2.0,2.0,2.0,1.0,-0.0,-0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,-0.0,-0.0,1.0,2.0,2.0,2.0,1.0,2.0
9,23,1, x, -0.0,3.0,3.0,3.0,3.0,2.0,1.0,-0.0,3.0,3.0,3.0,2.0,2.0,2.0,-0.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0
10,25,1, x, -0.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,-0.0,-0.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,-0.0
11,28,1, x, -0.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,1.0,1.0,1.0,-0.0
12,29,1, x, 1.0,2.0,-0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,-0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
13,30,1, x, 1.0,4.0,2.0,4.0,4.0,4.0,1.0,-0.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,1.0,-0.0,4.0,1.0,4.0,4.0,4.0,3.0
14,32,1, x, 1.0,6.0,6.0,6.0,6.0,3.0,2.0,1.0,6.0,6.0,6.0,6.0,4.0,1.0,1.0,6.0,6.0,6.0,6.0,3.0,2.0,1.0,6.0,6.0,6.0,6.0,4.0,1.0
15,43,1, x, -0.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0
16,46,1, x, 1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,1.0,1.0
17,48,1, x, 1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0


