n,i,t,p,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_1,4_2,4_3,4_4,4_5,4_6,4_7
49,30,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,30,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,39,3,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55,39,3,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
56,43,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,43,2,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
58,44,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
59,44,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
60,44,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
61,45,2,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0


n,i,t,dummy,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_1,4_2,4_3,4_4,4_5,4_6,4_7
1,11,2, x, -0.0,-0.0,4.0,2.0,0.0,3.0,1.0,-0.0,-0.0,4.0,2.0,-0.0,4.0,-0.0,-0.0,-0.0,4.0,1.0,-0.0,4.0,1.0,-0.0,-0.0,4.0,2.0,-0.0,4.0,-0.0
2,11,3, x, 2.0,3.0,-0.0,3.0,3.0,-0.0,1.0,1.0,3.0,-0.0,3.0,3.0,-0.0,2.0,2.0,3.0,-0.0,3.0,3.0,0.0,1.0,1.0,3.0,-0.0,3.0,3.0,-0.0,2.0
3,12,2, x, -0.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,0.0,1.0
4,14,1, x, -0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,-0.0,2.0,2.0,2.0,-0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0
5,14,3, x, 1.0,1.0,-0.0,2.0,2.0,2.0,-0.0,-0.0,2.0,0.0,2.0,2.0,2.0,-0.0,1.0,1.0,0.0,2.0,2.0,2.0,-0.0,-0.0,2.0,-0.0,2.0,2.0,2.0,-0.0
6,17,1, x, -0.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0
7,17,2, x, -0.0,4.0,5.0,-0.0,4.0,2.0,1.0,-0.0,2.0,5.0,-0.0,4.0,3.0,-0.0,-0.0,5.0,5.0,-0.0,6.0,-0.0,-0.0,-0.0,3.0,6.0,0.0,4.0,1.0,-0.0
8,17,3, x, 1.0,2.0,-0.0,2.0,2.0,0.0,1.0,1.0,2.0,-0.0,2.0,2.0,-0.0,1.0,1.0,1.0,-0.0,2.0,2.0,1.0,1.0,1.0,1.0,-0.0,2.0,2.0,1.0,1.0
9,18,2, x, -0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,-0.0
10,18,3, x, 0.0,4.0,1.0,4.0,4.0,3.0,0.0,1.0,4.0,1.0,4.0,4.0,2.0,0.0,0.0,4.0,2.0,4.0,4.0,2.0,-0.0,1.0,3.0,4.0,4.0,4.0,-0.0,0.0
11,19,2, x, -0.0,1.0,4.0,-0.0,3.0,3.0,-0.0,-0.0,2.0,4.0,-0.0,-0.0,2.0,1.0,-0.0,3.0,4.0,0.0,-0.0,4.0,-0.0,-0.0,2.0,2.0,-0.0,-0.0,4.0,1.0
12,20,3, x, -0.0,1.0,2.0,2.0,1.0,2.0,0.0,-0.0,1.0,2.0,2.0,1.0,2.0,-0.0,-0.0,2.0,2.0,2.0,-0.0,2.0,-0.0,0.0,2.0,2.0,2.0,0.0,2.0,-0.0
13,21,1, x, -0.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0
14,21,2, x, -0.0,2.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.0,-0.0,2.0,-0.0,2.0,-0.0,-0.0,1.0,-0.0,2.0,1.0,-0.0,-0.0,0.0,2.0,-0.0,2.0,-0.0,2.0
15,21,3, x, 0.0,1.0,2.0,2.0,1.0,2.0,-0.0,-0.0,1.0,2.0,2.0,1.0,2.0,-0.0,-0.0,1.0,2.0,2.0,2.0,1.0,-0.0,0.0,2.0,-0.0,2.0,2.0,2.0,-0.0
16,23,2, x, -0.0,-0.0,1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,-0.0
17,23,3, x, -0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0,1.0,-0.0
18,24,3, x, -0.0,3.0,-0.0,3.0,2.0,2.0,2.0,-0.0,3.0,-0.0,3.0,3.0,2.0,1.0,-0.0,3.0,-0.0,3.0,3.0,1.0,2.0,-0.0,3.0,-0.0,3.0,3.0,2.0,1.0
