tournum tourtype week period day shiftlength startwin
17 1 2 18 6 16 18
17 1 3 18 6 16 18
17 1 4 18 6 16 18
18 1 1 18 2 16 18
18 1 2 18 2 16 18
18 1 3 18 2 16 18
18 1 4 18 2 16 18
18 1 1 18 3 16 18
18 1 2 18 3 16 18
18 1 3 18 3 16 18
18 1 4 18 3 16 18
18 1 1 18 4 16 18
18 1 2 18 4 16 18
18 1 3 18 4 16 18
18 1 4 18 4 16 18
18 1 1 18 5 16 18
18 1 2 18 5 16 18
18 1 3 18 5 16 18
18 1 4 18 5 16 18
18 1 1 18 6 16 18
18 1 2 18 6 16 18
18 1 3 18 6 16 18
18 1 4 18 6 16 18
19 1 1 18 2 16 18
19 1 2 18 2 16 18
19 1 3 18 2 16 18
19 1 4 18 2 16 18
19 1 1 18 3 16 18
19 1 2 18 3 16 18
19 1 3 18 3 16 18
19 1 4 18 3 16 18
19 1 1 18 4 16 18
19 1 2 18 4 16 18
19 1 3 18 4 16 18
19 1 4 18 4 16 18
19 1 1 18 5 16 18
19 1 2 18 5 16 18
19 1 3 18 5 16 18
19 1 4 18 5 16 18
19 1 1 18 6 16 18
19 1 2 18 6 16 18
19 1 3 18 6 16 18
19 1 4 18 6 16 18
20 1 1 18 2 16 18
20 1 2 18 2 16 18
20 1 3 18 2 16 18
20 1 4 18 2 16 18
20 1 1 18 3 16 18
20 1 2 18 3 16 18
20 1 3 18 3 16 18
20 1 4 18 3 16 18
20 1 1 18 4 16 18
20 1 2 18 4 16 18
20 1 3 18 4 16 18
20 1 4 18 4 16 18
20 1 1 18 5 16 18
20 1 2 18 5 16 18
20 1 3 18 5 16 18
20 1 4 18 5 16 18
20 1 1 18 6 16 18
20 1 2 18 6 16 18
20 1 3 18 6 16 18
20 1 4 18 6 16 18
21 1 1 18 2 16 18
21 1 2 18 2 16 18
21 1 3 18 2 16 18
21 1 4 18 2 16 18
21 1 1 18 3 16 18
21 1 2 18 3 16 18
21 1 3 18 3 16 18
21 1 4 18 3 16 18
21 1 1 18 4 16 18
21 1 2 18 4 16 18
21 1 3 18 4 16 18
21 1 4 18 4 16 18
21 1 1 18 5 16 18
21 1 2 18 5 16 18
21 1 3 18 5 16 18
21 1 4 18 5 16 18
21 1 1 18 6 16 18
21 1 2 18 6 16 18
21 1 3 18 6 16 18
21 1 4 18 6 16 18
22 2 3 19 2 16 19
22 2 4 19 2 16 19
22 2 1 19 3 16 19
22 2 2 19 3 16 19
22 2 3 19 3 16 19
22 2 4 19 3 16 19
22 2 2 19 4 16 19
22 2 1 19 6 16 19
22 2 2 19 6 16 19
22 2 4 19 6 16 19
23 2 4 19 2 16 19
23 2 2 19 3 16 19
23 2 3 19 3 16 19
23 2 4 19 3 16 19
23 2 4 19 4 16 19
23 2 1 19 5 16 19
23 2 2 19 5 16 19
23 2 3 19 5 16 19
23 2 1 19 6 16 19
23 2 2 19 6 16 19
24 2 4 20 2 16 20
24 2 2 20 3 16 20
24 2 3 20 3 16 20
24 2 4 20 3 16 20
24 2 3 20 4 16 20
24 2 1 20 5 16 20
24 2 2 20 5 16 20
24 2 1 20 6 16 20
24 2 2 20 6 16 20
24 2 4 20 6 16 20
25 2 1 20 2 16 20
25 2 2 20 2 16 20
25 2 3 20 2 16 20
25 2 1 20 3 16 20
25 2 2 20 3 16 20
25 2 4 20 3 16 20
25 2 4 20 5 16 20
25 2 2 20 6 16 20
25 2 3 20 6 16 20
25 2 4 20 6 16 20
26 2 4 20 2 16 20
26 2 2 20 3 16 20
26 2 3 20 3 16 20
26 2 4 20 4 16 20
26 2 1 20 5 16 20
26 2 2 20 5 16 20
26 2 1 20 6 16 20
26 2 2 20 6 16 20
26 2 3 20 6 16 20
26 2 4 20 6 16 20
27 2 2 20 3 16 20
27 2 4 20 3 16 20
27 2 1 20 4 16 20
27 2 3 20 4 16 20
27 2 1 20 5 16 20
27 2 2 20 5 16 20
27 2 4 20 5 16 20
27 2 2 20 6 16 20
27 2 3 20 6 16 20
27 2 4 20 6 16 20
28 1 1 21 2 16 21
28 1 2 21 2 16 21
28 1 3 21 2 16 21
28 1 4 21 2 16 21
28 1 1 21 3 16 21
28 1 2 21 3 16 21
28 1 3 21 3 16 21
28 1 4 21 3 16 21
28 1 1 21 4 16 21
28 1 2 21 4 16 21
28 1 3 21 4 16 21
28 1 4 21 4 16 21
28 1 1 21 5 16 21
28 1 2 21 5 16 21
28 1 3 21 5 16 21
28 1 4 21 5 16 21
28 1 1 21 6 16 21
28 1 2 21 6 16 21
28 1 3 21 6 16 21
28 1 4 21 6 16 21
29 1 1 21 2 16 21
29 1 2 21 2 16 21
29 1 3 21 2 16 21
29 1 4 21 2 16 21
29 1 1 21 3 16 21
29 1 2 21 3 16 21
29 1 3 21 3 16 21
29 1 4 21 3 16 21
29 1 1 21 4 16 21
29 1 2 21 4 16 21
29 1 3 21 4 16 21
29 1 4 21 4 16 21
29 1 1 21 5 16 21
29 1 2 21 5 16 21
29 1 3 21 5 16 21
29 1 4 21 5 16 21
29 1 1 21 6 16 21
29 1 2 21 6 16 21
29 1 3 21 6 16 21
29 1 4 21 6 16 21
30 1 1 21 2 16 21
30 1 2 21 2 16 21
30 1 3 21 2 16 21
30 1 4 21 2 16 21
30 1 1 21 3 16 21
