tournum tourtype week period day shiftlength startwin
1 2 1 11 2 16 11
1 2 3 11 2 16 11
1 2 4 11 2 16 11
1 2 1 11 3 16 11
1 2 2 11 3 16 11
1 2 3 11 3 16 11
1 2 2 11 5 16 11
1 2 4 11 5 16 11
1 2 2 11 6 16 11
1 2 4 11 6 16 11
2 3 2 11 2 20 11
2 3 3 11 2 20 11
2 3 4 11 2 20 11
2 3 1 11 3 20 11
2 3 2 11 3 20 11
2 3 3 11 3 20 11
2 3 4 11 3 20 11
2 3 1 11 4 20 11
2 3 3 11 4 20 11
2 3 4 11 4 20 11
2 3 1 11 5 20 11
2 3 2 11 5 20 11
2 3 3 11 5 20 11
2 3 1 11 6 20 11
2 3 2 11 6 20 11
2 3 4 11 6 20 11
3 2 2 12 2 16 12
3 2 3 12 2 16 12
3 2 4 12 2 16 12
3 2 1 12 3 16 12
3 2 2 12 4 16 12
3 2 4 12 5 16 12
3 2 1 12 6 16 12
3 2 2 12 6 16 12
3 2 3 12 6 16 12
3 2 4 12 6 16 12
4 3 3 12 2 20 12
4 3 4 12 2 20 12
4 3 1 12 3 20 12
4 3 2 12 3 20 12
4 3 4 12 3 20 12
4 3 1 12 4 20 12
4 3 2 12 4 20 12
4 3 3 12 4 20 12
4 3 4 12 4 20 12
4 3 1 12 5 20 12
4 3 2 12 5 20 12
4 3 3 12 5 20 12
4 3 1 12 6 20 12
4 3 2 12 6 20 12
4 3 3 12 6 20 12
4 3 4 12 6 20 12
5 3 2 13 2 20 13
5 3 3 13 2 20 13
5 3 4 13 2 20 13
5 3 1 13 3 20 13
5 3 2 13 3 20 13
5 3 3 13 3 20 13
5 3 4 13 3 20 13
5 3 1 13 4 20 13
5 3 2 13 4 20 13
5 3 4 13 4 20 13
5 3 1 13 5 20 13
5 3 2 13 5 20 13
5 3 3 13 5 20 13
5 3 4 13 5 20 13
5 3 1 13 6 20 13
5 3 3 13 6 20 13
6 2 1 14 2 16 14
6 2 3 14 2 16 14
6 2 4 14 2 16 14
6 2 2 14 3 16 14
6 2 2 14 4 16 14
6 2 4 14 4 16 14
6 2 4 14 5 16 14
6 2 1 14 6 16 14
6 2 2 14 6 16 14
6 2 3 14 6 16 14
7 2 1 14 2 16 14
7 2 3 14 2 16 14
7 2 4 14 2 16 14
7 2 2 14 3 16 14
7 2 1 14 4 16 14
7 2 2 14 5 16 14
7 2 3 14 5 16 14
7 2 4 14 5 16 14
7 2 2 14 6 16 14
7 2 4 14 6 16 14
8 2 1 14 2 16 14
8 2 2 14 3 16 14
8 2 3 14 3 16 14
8 2 4 14 3 16 14
8 2 1 14 4 16 14
8 2 2 14 4 16 14
8 2 4 14 4 16 14
8 2 3 14 5 16 14
8 2 4 14 5 16 14
8 2 2 14 6 16 14
9 2 2 14 2 16 14
9 2 1 14 3 16 14
9 2 2 14 3 16 14
9 2 3 14 3 16 14
9 2 4 14 3 16 14
9 2 2 14 4 16 14
9 2 3 14 4 16 14
9 2 4 14 4 16 14
9 2 1 14 5 16 14
9 2 4 14 6 16 14
10 2 1 15 2 16 15
10 2 2 15 2 16 15
10 2 3 15 2 16 15
10 2 4 15 2 16 15
10 2 2 15 4 16 15
10 2 4 15 4 16 15
10 2 2 15 5 16 15
10 2 4 15 5 16 15
10 2 1 15 6 16 15
10 2 3 15 6 16 15
11 3 3 15 2 20 15
11 3 4 15 2 20 15
11 3 1 15 3 20 15
11 3 2 15 3 20 15
11 3 3 15 3 20 15
11 3 1 15 4 20 15
11 3 2 15 4 20 15
11 3 3 15 4 20 15
11 3 4 15 4 20 15
11 3 1 15 5 20 15
11 3 2 15 5 20 15
11 3 4 15 5 20 15
11 3 1 15 6 20 15
11 3 2 15 6 20 15
11 3 3 15 6 20 15
11 3 4 15 6 20 15
12 1 1 17 2 16 17
12 1 2 17 2 16 17
12 1 3 17 2 16 17
12 1 4 17 2 16 17
12 1 1 17 3 16 17
12 1 2 17 3 16 17
12 1 3 17 3 16 17
12 1 4 17 3 16 17
12 1 1 17 4 16 17
12 1 2 17 4 16 17
12 1 3 17 4 16 17
12 1 4 17 4 16 17
12 1 1 17 5 16 17
12 1 2 17 5 16 17
12 1 3 17 5 16 17
12 1 4 17 5 16 17
12 1 1 17 6 16 17
12 1 2 17 6 16 17
12 1 3 17 6 16 17
12 1 4 17 6 16 17
13 2 2 17 2 16 17
13 2 4 17 3 16 17
13 2 2 17 4 16 17
13 2 3 17 4 16 17
13 2 4 17 4 16 17
13 2 1 17 5 16 17
13 2 1 17 6 16 17
13 2 2 17 6 16 17
13 2 3 17 6 16 17
13 2 4 17 6 16 17
14 3 1 17 2 20 17
14 3 4 17 2 20 17
14 3 1 17 3 20 17
14 3 2 17 3 20 17
14 3 3 17 3 20 17
14 3 1 17 4 20 17
14 3 2 17 4 20 17
14 3 3 17 4 20 17
14 3 4 17 4 20 17
14 3 1 17 5 20 17
14 3 2 17 5 20 17
14 3 3 17 5 20 17
14 3 4 17 5 20 17
14 3 2 17 6 20 17
14 3 3 17 6 20 17
14 3 4 17 6 20 17
15 3 1 17 2 20 17
15 3 2 17 2 20 17
15 3 3 17 2 20 17
15 3 4 17 2 20 17
15 3 1 17 3 20 17
15 3 2 17 3 20 17
15 3 3 17 3 20 17
15 3 4 17 3 20 17
15 3 3 17 4 20 17
15 3 4 17 4 20 17
15 3 1 17 5 20 17
15 3 2 17 5 20 17
15 3 3 17 5 20 17
15 3 1 17 6 20 17
15 3 2 17 6 20 17
15 3 4 17 6 20 17
16 3 2 17 2 20 17
16 3 4 17 2 20 17
16 3 1 17 3 20 17
16 3 2 17 3 20 17
16 3 3 17 3 20 17
16 3 4 17 3 20 17
16 3 1 17 4 20 17
16 3 3 17 4 20 17
16 3 1 17 5 20 17
16 3 2 17 5 20 17
16 3 3 17 5 20 17
16 3 4 17 5 20 17
16 3 1 17 6 20 17
16 3 2 17 6 20 17
16 3 3 17 6 20 17
16 3 4 17 6 20 17
17 2 1 18 2 16 18
17 2 2 18 2 16 18
17 2 3 18 2 16 18
17 2 4 18 2 16 18
17 2 2 18 3 16 18
17 2 4 18 3 16 18
17 2 1 18 4 16 18
17 2 3 18 4 16 18
17 2 4 18 4 16 18
17 2 2 18 5 16 18
18 2 2 18 2 16 18
18 2 4 18 2 16 18
18 2 1 18 3 16 18
18 2 4 18 3 16 18
18 2 2 18 4 16 18
18 2 3 18 4 16 18
18 2 2 18 5 16 18
18 2 3 18 5 16 18
18 2 1 18 6 16 18
18 2 4 18 6 16 18
19 2 1 18 2 16 18
19 2 3 18 2 16 18
19 2 3 18 3 16 18
19 2 4 18 3 16 18
19 2 1 18 4 16 18
19 2 2 18 4 16 18
19 2 4 18 4 16 18
19 2 2 18 5 16 18
19 2 2 18 6 16 18
19 2 4 18 6 16 18
20 2 1 18 2 16 18
20 2 2 18 2 16 18
20 2 2 18 3 16 18
20 2 3 18 3 16 18
20 2 4 18 3 16 18
20 2 1 18 4 16 18
20 2 4 18 4 16 18
20 2 3 18 5 16 18
20 2 2 18 6 16 18
20 2 4 18 6 16 18
21 2 1 18 2 16 18
21 2 3 18 2 16 18
21 2 4 18 2 16 18
21 2 2 18 4 16 18
21 2 3 18 4 16 18
21 2 2 18 5 16 18
21 2 4 18 5 16 18
21 2 1 18 6 16 18
21 2 2 18 6 16 18
21 2 4 18 6 16 18
22 2 1 18 2 16 18
22 2 3 18 2 16 18
22 2 2 18 3 16 18
22 2 4 18 3 16 18
22 2 4 18 4 16 18
22 2 1 18 5 16 18
22 2 2 18 5 16 18
22 2 3 18 5 16 18
22 2 2 18 6 16 18
22 2 4 18 6 16 18
23 2 2 18 2 16 18
23 2 4 18 2 16 18
23 2 1 18 3 16 18
23 2 3 18 3 16 18
23 2 1 18 4 16 18
23 2 2 18 4 16 18
23 2 4 18 4 16 18
23 2 4 18 5 16 18
23 2 2 18 6 16 18
23 2 3 18 6 16 18
24 3 1 18 2 20 18
24 3 2 18 2 20 18
24 3 1 18 3 20 18
24 3 2 18 3 20 18
24 3 3 18 3 20 18
24 3 4 18 3 20 18
24 3 1 18 4 20 18
24 3 2 18 4 20 18
24 3 3 18 4 20 18
24 3 4 18 4 20 18
24 3 1 18 5 20 18
24 3 2 18 5 20 18
24 3 3 18 5 20 18
24 3 4 18 5 20 18
