tournum tourtype week period day shiftlength startwin
17 2 2 19 4 16 17
17 2 4 19 4 16 17
17 2 4 19 6 16 17
18 2 4 17 5 16 17
18 2 2 17 6 16 17
18 2 1 18 3 16 17
18 2 4 18 4 16 17
18 2 2 18 5 16 17
18 2 1 19 2 16 17
18 2 2 19 2 16 17
18 2 3 19 6 16 17
18 2 4 20 3 16 17
18 2 3 20 4 16 17
19 2 4 17 3 16 17
19 2 2 17 5 16 17
19 2 3 18 2 16 17
19 2 1 18 6 16 17
19 2 4 19 2 16 17
19 2 2 19 3 16 17
19 2 2 19 4 16 17
19 2 4 19 5 16 17
19 2 3 20 3 16 17
19 2 1 20 4 16 17
20 3 1 17 2 20 17
20 3 2 17 2 20 17
20 3 3 17 5 20 17
20 3 1 17 6 20 17
20 3 2 17 6 20 17
20 3 3 18 2 20 17
20 3 4 18 5 20 17
20 3 4 19 2 20 17
20 3 1 19 3 20 17
20 3 3 19 3 20 17
20 3 4 19 3 20 17
20 3 2 19 4 20 17
20 3 3 19 6 20 17
20 3 2 20 3 20 17
20 3 1 20 4 20 17
20 3 4 20 4 20 17
21 3 3 17 3 20 17
21 3 2 17 5 20 17
21 3 4 17 6 20 17
21 3 1 18 2 20 17
21 3 2 18 2 20 17
21 3 4 18 2 20 17
21 3 3 18 5 20 17
21 3 4 18 5 20 17
21 3 3 18 6 20 17
21 3 4 19 4 20 17
21 3 1 19 5 20 17
21 3 2 19 6 20 17
21 3 3 20 2 20 17
21 3 1 20 4 20 17
21 3 2 20 4 20 17
21 3 1 20 6 20 17
22 2 3 18 2 16 18
22 2 1 18 3 16 18
22 2 2 18 4 16 18
22 2 2 18 5 16 18
22 2 4 19 3 16 18
22 2 1 19 5 16 18
22 2 4 20 5 16 18
22 2 2 20 6 16 18
22 2 4 21 2 16 18
22 2 3 21 5 16 18
23 3 4 18 3 20 18
23 3 3 18 4 20 18
23 3 4 18 5 20 18
23 3 1 18 6 20 18
23 3 1 19 3 20 18
23 3 2 19 3 20 18
23 3 2 19 4 20 18
23 3 4 19 4 20 18
23 3 2 19 5 20 18
23 3 4 19 6 20 18
23 3 2 20 2 20 18
23 3 3 20 3 20 18
23 3 3 20 6 20 18
23 3 1 21 2 20 18
23 3 3 21 2 20 18
23 3 1 21 5 20 18
24 3 1 18 2 20 18
24 3 4 18 2 20 18
24 3 3 18 3 20 18
24 3 2 18 4 20 18
24 3 4 18 6 20 18
24 3 2 19 2 20 18
24 3 2 19 6 20 18
24 3 2 20 3 20 18
24 3 1 20 4 20 18
24 3 4 20 5 20 18
24 3 1 20 6 20 18
24 3 3 21 4 20 18
24 3 4 21 4 20 18
24 3 1 21 5 20 18
24 3 3 21 5 20 18
24 3 3 21 6 20 18
25 3 2 18 2 20 18
25 3 4 18 3 20 18
25 3 2 18 4 20 18
25 3 4 18 4 20 18
25 3 4 18 5 20 18
25 3 2 18 6 20 18
25 3 3 19 5 20 18
25 3 1 19 6 20 18
25 3 4 19 6 20 18
25 3 1 20 2 20 18
25 3 3 20 4 20 18
25 3 2 20 5 20 18
25 3 3 20 6 20 18
25 3 3 21 2 20 18
25 3 1 21 3 20 18
25 3 1 21 5 20 18
26 3 3 18 2 20 18
26 3 2 18 5 20 18
26 3 2 19 3 20 18
26 3 4 19 3 20 18
26 3 4 19 5 20 18
26 3 4 20 2 20 18
26 3 1 20 3 20 18
26 3 2 20 4 20 18
26 3 1 20 5 20 18
26 3 3 20 5 20 18
26 3 2 20 6 20 18
26 3 3 21 3 20 18
26 3 1 21 4 20 18
26 3 3 21 4 20 18
26 3 1 21 6 20 18
26 3 4 21 6 20 18
27 2 2 19 2 16 19
