tournum tourtype week period day shiftlength startwin
1 1 1 11 1 16 11
1 1 3 11 1 16 11
1 1 1 11 2 16 11
1 1 2 11 2 16 11
1 1 3 11 2 16 11
1 1 4 11 2 16 11
1 1 1 11 3 16 11
1 1 2 11 3 16 11
1 1 3 11 3 16 11
1 1 4 11 3 16 11
1 1 1 11 5 16 11
1 1 2 11 5 16 11
1 1 3 11 5 16 11
1 1 4 11 5 16 11
1 1 1 11 6 16 11
1 1 2 11 6 16 11
1 1 3 11 6 16 11
1 1 4 11 6 16 11
1 1 2 11 7 16 11
1 1 4 11 7 16 11
2 1 2 11 1 16 11
2 1 4 11 1 16 11
2 1 1 11 2 16 11
2 1 2 11 2 16 11
2 1 3 11 2 16 11
2 1 4 11 2 16 11
2 1 1 11 3 16 11
2 1 2 11 3 16 11
2 1 3 11 3 16 11
2 1 4 11 3 16 11
2 1 1 11 4 16 11
2 1 3 11 4 16 11
2 1 1 11 5 16 11
2 1 2 11 5 16 11
2 1 3 11 5 16 11
2 1 4 11 5 16 11
2 1 1 11 6 16 11
2 1 2 11 6 16 11
2 1 3 11 6 16 11
2 1 4 11 6 16 11
3 1 1 11 1 16 11
3 1 3 11 1 16 11
3 1 1 11 2 16 11
3 1 2 11 2 16 11
3 1 3 11 2 16 11
3 1 4 11 2 16 11
3 1 1 11 3 16 11
3 1 2 11 3 16 11
3 1 3 11 3 16 11
3 1 4 11 3 16 11
3 1 2 11 4 16 11
3 1 4 11 4 16 11
3 1 1 11 5 16 11
3 1 2 11 5 16 11
3 1 3 11 5 16 11
3 1 4 11 5 16 11
3 1 1 11 6 16 11
3 1 2 11 6 16 11
3 1 3 11 6 16 11
3 1 4 11 6 16 11
4 1 2 14 2 16 14
4 1 4 14 2 16 14
4 1 1 14 3 16 14
4 1 2 14 3 16 14
4 1 3 14 3 16 14
4 1 4 14 3 16 14
4 1 1 14 4 16 14
4 1 2 14 4 16 14
4 1 3 14 4 16 14
4 1 4 14 4 16 14
4 1 1 14 5 16 14
4 1 2 14 5 16 14
4 1 3 14 5 16 14
4 1 4 14 5 16 14
4 1 1 14 6 16 14
4 1 2 14 6 16 14
4 1 3 14 6 16 14
4 1 4 14 6 16 14
4 1 1 14 7 16 14
4 1 3 14 7 16 14
5 1 1 14 2 16 14
5 1 3 14 2 16 14
5 1 1 14 3 16 14
5 1 2 14 3 16 14
5 1 3 14 3 16 14
5 1 4 14 3 16 14
5 1 1 14 4 16 14
5 1 2 14 4 16 14
5 1 3 14 4 16 14
5 1 4 14 4 16 14
5 1 1 14 5 16 14
5 1 2 14 5 16 14
5 1 3 14 5 16 14
5 1 4 14 5 16 14
5 1 1 14 6 16 14
5 1 2 14 6 16 14
5 1 3 14 6 16 14
5 1 4 14 6 16 14
5 1 2 14 7 16 14
5 1 4 14 7 16 14
6 1 1 14 2 16 14
6 1 2 14 2 16 14
6 1 3 14 2 16 14
6 1 4 14 2 16 14
6 1 1 14 3 16 14
6 1 2 14 3 16 14
6 1 3 14 3 16 14
6 1 4 14 3 16 14
6 1 1 14 4 16 14
6 1 2 14 4 16 14
6 1 3 14 4 16 14
6 1 4 14 4 16 14
6 1 1 14 5 16 14
6 1 2 14 5 16 14
6 1 3 14 5 16 14
6 1 4 14 5 16 14
6 1 2 14 6 16 14
6 1 4 14 6 16 14
6 1 1 14 7 16 14
6 1 3 14 7 16 14
7 1 2 16 1 16 16
7 1 4 16 1 16 16
7 1 1 16 2 16 16
7 1 2 16 2 16 16
7 1 3 16 2 16 16
7 1 4 16 2 16 16
7 1 1 16 3 16 16
7 1 2 16 3 16 16
7 1 3 16 3 16 16
7 1 4 16 3 16 16
7 1 1 16 4 16 16
7 1 3 16 4 16 16
7 1 4 16 4 16 16
7 1 1 16 5 16 16
7 1 2 16 5 16 16
7 1 3 16 5 16 16
7 1 4 16 5 16 16
7 1 1 16 6 16 16
7 1 2 16 6 16 16
7 1 3 16 6 16 16
8 1 1 17 1 16 17
8 1 3 17 1 16 17
8 1 1 17 2 16 17
8 1 2 17 2 16 17
8 1 3 17 2 16 17
8 1 4 17 2 16 17
8 1 4 17 3 16 17
8 1 1 17 4 16 17
8 1 2 17 4 16 17
8 1 3 17 4 16 17
8 1 4 17 4 16 17
8 1 1 17 5 16 17
8 1 2 17 5 16 17
8 1 3 17 5 16 17
8 1 4 17 5 16 17
8 1 1 17 6 16 17
8 1 2 17 6 16 17
8 1 3 17 6 16 17
8 1 2 17 7 16 17
8 1 4 17 7 16 17
9 1 2 17 1 16 17
9 1 4 17 1 16 17
9 1 1 17 2 16 17
9 1 2 17 2 16 17
9 1 3 17 2 16 17
9 1 4 17 2 16 17
9 1 1 17 3 16 17
9 1 2 17 3 16 17
9 1 3 17 3 16 17
9 1 4 17 3 16 17
9 1 1 17 4 16 17
9 1 2 17 4 16 17
9 1 3 17 4 16 17
9 1 4 17 4 16 17
9 1 1 17 5 16 17
9 1 2 17 5 16 17
9 1 3 17 5 16 17
9 1 4 17 5 16 17
9 1 1 17 7 16 17
9 1 3 17 7 16 17
10 1 3 17 1 16 17
10 1 1 17 2 16 17
10 1 2 17 2 16 17
10 1 3 17 2 16 17
10 1 4 17 2 16 17
10 1 1 17 3 16 17
10 1 2 17 3 16 17
10 1 3 17 3 16 17
