tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
1,2,10,160,11,80.0,0.5,x,x,x,0500-1300,x,0530-1330,x,x,x,0530-1330,0500-1300,x,0500-1300,x,x,x,x,0530-1330,x,0530-1330,x,x,0530-1330,x,x,0500-1300,0530-1330,x
2,3,16,320,11,160.0,1.0,x,0500-1500,0500-1500,0530-1530,x,0530-1530,x,x,x,0500-1500,0530-1530,0500-1500,0530-1530,x,x,0530-1530,x,0530-1530,0500-1500,0530-1530,x,x,0530-1530,0530-1530,x,0530-1530,0530-1530,x
3,3,16,320,11,160.0,1.0,x,0530-1530,0500-1500,0500-1500,x,0530-1530,x,x,0500-1500,0500-1500,0530-1530,0500-1500,x,x,x,0530-1530,x,0530-1530,0530-1530,0530-1530,x,x,0500-1500,0530-1530,x,0530-1530,0500-1500,x
4,1,20,320,12,160.0,1.0,x,0530-1330,0530-1330,0600-1400,0600-1400,0530-1330,x,x,0600-1400,0600-1400,0530-1330,0530-1330,0530-1330,x,x,0600-1400,0600-1400,0530-1330,0600-1400,0600-1400,x,x,0530-1330,0530-1330,0530-1330,0530-1330,0600-1400,x
5,3,16,320,12,160.0,1.0,x,0600-1600,0600-1600,0600-1600,0530-1530,x,x,x,0530-1530,0530-1530,0530-1530,x,0600-1600,x,x,x,0530-1530,0530-1530,0530-1530,0600-1600,x,x,x,0530-1530,0530-1530,0530-1530,0600-1600,x
6,2,10,160,14,80.0,0.5,x,0630-1430,x,x,x,0700-1500,x,x,0630-1430,0630-1430,0630-1430,x,x,x,x,x,0630-1430,x,x,0630-1430,x,x,0630-1430,0630-1430,0630-1430,x,x,x
7,2,10,160,14,80.0,0.5,x,x,x,0630-1430,0630-1430,x,x,x,0630-1430,x,0630-1430,0630-1430,x,x,x,0700-1500,x,0700-1500,x,x,x,x,0700-1500,0630-1430,x,x,0630-1430,x
8,3,16,320,14,160.0,1.0,x,0630-1630,0700-1700,0700-1700,x,0700-1700,x,x,x,0630-1630,0700-1700,0700-1700,0700-1700,x,x,0700-1700,x,0630-1630,0630-1630,0700-1700,x,x,0700-1700,x,0700-1700,0700-1700,0700-1700,x
9,2,10,160,16,80.0,0.5,x,x,x,0730-1530,x,0800-1600,x,x,x,0800-1600,0800-1600,0800-1600,x,x,x,0730-1530,0730-1530,x,x,x,x,x,0730-1530,0800-1600,x,x,0730-1530,x
10,2,10,160,16,80.0,0.5,x,0800-1600,0800-1600,x,x,x,x,x,x,0730-1530,0730-1530,0730-1530,x,x,x,0730-1530,0730-1530,x,x,x,x,x,0800-1600,x,x,0730-1530,0730-1530,x
11,2,10,160,16,80.0,0.5,x,0730-1530,x,0730-1530,x,x,x,x,0800-1600,0730-1530,x,0800-1600,x,x,x,x,x,0730-1530,x,0800-1600,x,x,0730-1530,0730-1530,0800-1600,x,x,x
12,2,10,160,16,80.0,0.5,x,0730-1530,0730-1530,x,x,x,x,x,0800-1600,x,0730-1530,x,0800-1600,x,x,x,0730-1530,0730-1530,x,x,x,x,x,x,0800-1600,0800-1600,0730-1530,x
13,2,10,160,16,80.0,0.5,x,x,x,x,0730-1530,0800-1600,x,x,0800-1600,x,0730-1530,x,0800-1600,x,x,x,x,0730-1530,0730-1530,x,x,x,0730-1530,0800-1600,x,x,0730-1530,x
14,2,10,160,17,80.0,0.5,x,x,x,x,0800-1600,0800-1600,x,x,0830-1630,0830-1630,0830-1630,x,x,x,x,0800-1600,0800-1600,x,x,x,x,x,x,0800-1600,0800-1600,0830-1630,x,x
15,2,10,160,17,80.0,0.5,x,x,x,0800-1600,x,0800-1600,x,x,x,0800-1600,x,0830-1630,0830-1630,x,x,x,0830-1630,0830-1630,x,x,x,x,x,x,0830-1630,0830-1630,0830-1630,x
16,2,10,160,17,80.0,0.5,x,0830-1630,x,x,x,0800-1600,x,x,x,x,0830-1630,0800-1600,0830-1630,x,x,0800-1600,0800-1600,x,x,x,x,x,x,0800-1600,0830-1630,0800-1600,x,x
17,2,10,160,17,80.0,0.5,x,0800-1600,x,x,x,0830-1630,x,x,x,0800-1600,0800-1600,0800-1600,x,x,x,x,x,0830-1630,x,0830-1630,x,x,0800-1600,0830-1630,x,x,0800-1600,x
18,2,10,160,17,80.0,0.5,x,0800-1600,0830-1630,x,x,x,x,x,0800-1600,x,0800-1600,0830-1630,x,x,x,0830-1630,0800-1600,x,x,x,x,x,x,0830-1630,0830-1630,x,0800-1600,x
19,3,16,320,17,160.0,1.0,x,x,0800-1800,0830-1830,0830-1830,0800-1800,x,x,0830-1830,0830-1830,0800-1800,x,0800-1800,x,x,0800-1800,0830-1830,x,0800-1800,0800-1800,x,x,0800-1800,x,0800-1800,0800-1800,0830-1830,x
20,2,10,160,18,80.0,0.5,x,x,x,0900-1700,x,0900-1700,x,x,x,0830-1630,0900-1700,x,0830-1630,x,x,0830-1630,0830-1630,x,x,x,x,x,0900-1700,x,0830-1630,x,0900-1700,x
21,3,16,320,18,160.0,1.0,x,x,0900-1900,0830-1830,0900-1900,0900-1900,x,x,0830-1830,0900-1900,x,0900-1900,0900-1900,x,x,0900-1900,x,0900-1900,0830-1830,0900-1900,x,x,x,0900-1900,0900-1900,0900-1900,0900-1900,x
22,3,16,320,18,160.0,1.0,x,0830-1830,x,0830-1830,0900-1900,0900-1900,x,x,0830-1830,x,0830-1830,0900-1900,0900-1900,x,x,0900-1900,0900-1900,x,0830-1830,0900-1900,x,x,0900-1900,0900-1900,0900-1900,x,0900-1900,x
23,3,16,320,18,160.0,1.0,x,0830-1830,x,0900-1900,0900-1900,0900-1900,x,x,0830-1830,x,0830-1830,0900-1900,0830-1830,x,x,0830-1830,0830-1830,0900-1900,0900-1900,x,x,x,x,0900-1900,0900-1900,0830-1830,0830-1830,x
24,3,16,320,18,160.0,1.0,x,0830-1830,0900-1900,0830-1830,x,0900-1900,x,x,0900-1900,0830-1830,0900-1900,0830-1830,x,x,x,0830-1830,0900-1900,0900-1900,0900-1900,x,x,x,0900-1900,0830-1830,0900-1900,x,0830-1830,x
25,2,10,160,19,80.0,0.5,x,0930-1730,x,x,x,0900-1700,x,x,0930-1730,0930-1730,0930-1730,x,x,x,x,x,0900-1700,x,0930-1730,x,x,x,0930-1730,x,0930-1730,x,0930-1730,x
26,2,10,160,19,80.0,0.5,x,0900-1700,x,0930-1730,x,x,x,x,0930-1730,x,0900-1700,0900-1700,x,x,x,0900-1700,x,x,0900-1700,x,x,x,0930-1730,0930-1730,x,0900-1700,x,x
27,2,10,160,20,80.0,0.5,x,1000-1800,x,x,0930-1730,x,x,x,x,0930-1730,1000-1800,x,1000-1800,x,x,x,0930-1730,x,x,1000-1800,x,x,x,0930-1730,x,1000-1800,0930-1730,x
28,2,10,160,20,80.0,0.5,x,1000-1800,x,0930-1730,x,x,x,x,x,x,1000-1800,0930-1730,0930-1730,x,x,x,x,0930-1730,1000-1800,x,x,x,1000-1800,x,1000-1800,x,1000-1800,x
29,2,10,160,20,80.0,0.5,x,x,x,x,1000-1800,0930-1730,x,x,1000-1800,x,x,0930-1730,1000-1800,x,x,0930-1730,x,0930-1730,x,x,x,x,x,1000-1800,x,1000-1800,1000-1800,x
