tournum tourtype week period day shiftlength startwin
1 3 1 13 2 20 13
1 3 3 13 2 20 13
1 3 1 13 3 20 13
1 3 2 13 3 20 13
1 3 3 13 3 20 13
1 3 4 13 3 20 13
1 3 1 13 4 20 13
1 3 2 13 4 20 13
1 3 3 13 4 20 13
1 3 4 13 4 20 13
1 3 2 13 5 20 13
1 3 3 13 5 20 13
1 3 4 13 5 20 13
1 3 1 13 6 20 13
1 3 2 13 6 20 13
1 3 4 13 6 20 13
2 1 1 14 2 16 14
2 1 2 14 2 16 14
2 1 3 14 2 16 14
2 1 4 14 2 16 14
2 1 1 14 3 16 14
2 1 2 14 3 16 14
2 1 3 14 3 16 14
2 1 4 14 3 16 14
2 1 1 14 4 16 14
2 1 2 14 4 16 14
2 1 3 14 4 16 14
2 1 4 14 4 16 14
2 1 1 14 5 16 14
2 1 2 14 5 16 14
2 1 3 14 5 16 14
2 1 4 14 5 16 14
2 1 1 14 6 16 14
2 1 2 14 6 16 14
2 1 3 14 6 16 14
2 1 4 14 6 16 14
3 3 1 14 2 20 14
3 3 2 14 2 20 14
3 3 3 14 2 20 14
3 3 4 14 2 20 14
3 3 2 14 3 20 14
3 3 3 14 3 20 14
3 3 4 14 3 20 14
3 3 1 14 4 20 14
3 3 2 14 4 20 14
3 3 1 14 5 20 14
3 3 3 14 5 20 14
3 3 4 14 5 20 14
3 3 1 14 6 20 14
3 3 2 14 6 20 14
3 3 3 14 6 20 14
3 3 4 14 6 20 14
4 1 1 15 2 16 15
4 1 2 15 2 16 15
4 1 3 15 2 16 15
4 1 4 15 2 16 15
4 1 1 15 3 16 15
4 1 2 15 3 16 15
4 1 3 15 3 16 15
4 1 4 15 3 16 15
4 1 1 15 4 16 15
4 1 2 15 4 16 15
4 1 3 15 4 16 15
4 1 4 15 4 16 15
4 1 1 15 5 16 15
4 1 2 15 5 16 15
4 1 3 15 5 16 15
4 1 4 15 5 16 15
4 1 1 15 6 16 15
4 1 2 15 6 16 15
4 1 3 15 6 16 15
4 1 4 15 6 16 15
5 1 1 15 2 16 15
5 1 2 15 2 16 15
5 1 3 15 2 16 15
5 1 4 15 2 16 15
5 1 1 15 3 16 15
5 1 2 15 3 16 15
5 1 3 15 3 16 15
5 1 4 15 3 16 15
5 1 1 15 4 16 15
5 1 2 15 4 16 15
5 1 3 15 4 16 15
5 1 4 15 4 16 15
5 1 1 15 5 16 15
5 1 2 15 5 16 15
5 1 3 15 5 16 15
5 1 4 15 5 16 15
5 1 1 15 6 16 15
5 1 2 15 6 16 15
5 1 3 15 6 16 15
5 1 4 15 6 16 15
6 3 1 16 2 20 16
6 3 2 16 2 20 16
6 3 3 16 2 20 16
6 3 4 16 2 20 16
6 3 3 16 3 20 16
6 3 4 16 3 20 16
6 3 1 16 4 20 16
6 3 2 16 4 20 16
6 3 4 16 4 20 16
6 3 1 16 5 20 16
6 3 2 16 5 20 16
6 3 3 16 5 20 16
6 3 1 16 6 20 16
6 3 2 16 6 20 16
6 3 3 16 6 20 16
6 3 4 16 6 20 16
7 3 2 16 2 20 16
7 3 3 16 2 20 16
7 3 4 16 2 20 16
7 3 1 16 3 20 16
7 3 2 16 3 20 16
7 3 3 16 3 20 16
7 3 1 16 4 20 16
7 3 4 16 4 20 16
7 3 1 16 5 20 16
7 3 2 16 5 20 16
7 3 3 16 5 20 16
7 3 4 16 5 20 16
7 3 1 16 6 20 16
7 3 2 16 6 20 16
7 3 3 16 6 20 16
7 3 4 16 6 20 16
8 1 1 17 2 16 17
8 1 2 17 2 16 17
8 1 3 17 2 16 17
8 1 4 17 2 16 17
8 1 1 17 3 16 17
8 1 2 17 3 16 17
8 1 3 17 3 16 17
8 1 4 17 3 16 17
8 1 1 17 4 16 17
8 1 2 17 4 16 17
8 1 3 17 4 16 17
8 1 4 17 4 16 17
8 1 1 17 5 16 17
8 1 2 17 5 16 17
8 1 3 17 5 16 17
8 1 4 17 5 16 17
8 1 1 17 6 16 17
8 1 2 17 6 16 17
8 1 3 17 6 16 17
8 1 4 17 6 16 17
9 1 1 17 2 16 17
9 1 2 17 2 16 17
9 1 3 17 2 16 17
9 1 4 17 2 16 17
9 1 1 17 3 16 17
9 1 2 17 3 16 17
9 1 3 17 3 16 17
9 1 4 17 3 16 17
9 1 1 17 4 16 17
9 1 2 17 4 16 17
9 1 3 17 4 16 17
9 1 4 17 4 16 17
9 1 1 17 5 16 17
9 1 2 17 5 16 17
9 1 3 17 5 16 17
9 1 4 17 5 16 17
9 1 1 17 6 16 17
9 1 2 17 6 16 17
9 1 3 17 6 16 17
9 1 4 17 6 16 17
10 1 1 18 2 16 18
10 1 2 18 2 16 18
10 1 3 18 2 16 18
10 1 4 18 2 16 18
10 1 1 18 3 16 18
10 1 2 18 3 16 18
10 1 3 18 3 16 18
10 1 4 18 3 16 18
10 1 1 18 4 16 18
10 1 2 18 4 16 18
10 1 3 18 4 16 18
10 1 4 18 4 16 18
10 1 1 18 5 16 18
10 1 2 18 5 16 18
10 1 3 18 5 16 18
10 1 4 18 5 16 18
10 1 1 18 6 16 18
10 1 2 18 6 16 18
10 1 3 18 6 16 18
10 1 4 18 6 16 18
11 1 1 18 2 16 18
11 1 2 18 2 16 18
11 1 3 18 2 16 18
11 1 4 18 2 16 18
11 1 1 18 3 16 18
11 1 2 18 3 16 18
11 1 3 18 3 16 18
11 1 4 18 3 16 18
11 1 1 18 4 16 18
11 1 2 18 4 16 18
11 1 3 18 4 16 18
11 1 4 18 4 16 18
11 1 1 18 5 16 18
11 1 2 18 5 16 18
11 1 3 18 5 16 18
11 1 4 18 5 16 18
11 1 1 18 6 16 18
11 1 2 18 6 16 18
11 1 3 18 6 16 18
11 1 4 18 6 16 18
12 1 1 18 2 16 18
12 1 2 18 2 16 18
12 1 3 18 2 16 18
12 1 4 18 2 16 18
12 1 1 18 3 16 18
12 1 2 18 3 16 18
12 1 3 18 3 16 18
12 1 4 18 3 16 18
12 1 1 18 4 16 18
12 1 2 18 4 16 18
12 1 3 18 4 16 18
12 1 4 18 4 16 18
12 1 1 18 5 16 18
12 1 2 18 5 16 18
12 1 3 18 5 16 18
12 1 4 18 5 16 18
12 1 1 18 6 16 18
12 1 2 18 6 16 18
12 1 3 18 6 16 18
12 1 4 18 6 16 18
13 1 1 18 2 16 18
13 1 2 18 2 16 18
13 1 3 18 2 16 18
13 1 4 18 2 16 18
13 1 1 18 3 16 18
13 1 2 18 3 16 18
13 1 3 18 3 16 18
13 1 4 18 3 16 18
13 1 1 18 4 16 18
13 1 2 18 4 16 18
13 1 3 18 4 16 18
13 1 4 18 4 16 18
13 1 1 18 5 16 18
13 1 2 18 5 16 18
13 1 3 18 5 16 18
13 1 4 18 5 16 18
13 1 1 18 6 16 18
13 1 2 18 6 16 18
13 1 3 18 6 16 18
13 1 4 18 6 16 18
14 3 1 18 2 20 18
14 3 2 18 2 20 18
14 3 3 18 2 20 18
14 3 1 18 3 20 18
14 3 2 18 3 20 18
