tournum tourtype week period day shiftlength startwin
18 3 1 18 3 20 17
18 3 1 18 4 20 17
18 3 3 18 4 20 17
18 3 4 18 4 20 17
18 3 1 18 5 20 17
19 3 1 17 2 20 17
19 3 3 17 2 20 17
19 3 4 17 2 20 17
19 3 3 17 3 20 17
19 3 1 17 4 20 17
19 3 2 17 4 20 17
19 3 3 17 4 20 17
19 3 3 17 6 20 17
19 3 4 17 6 20 17
19 3 2 18 2 20 17
19 3 1 18 3 20 17
19 3 4 18 4 20 17
19 3 1 18 5 20 17
19 3 2 18 5 20 17
19 3 4 18 5 20 17
19 3 2 18 6 20 17
20 2 4 18 2 16 18
20 2 1 18 3 16 18
20 2 1 18 4 16 18
20 2 4 18 5 16 18
20 2 3 18 6 16 18
20 2 4 18 6 16 18
20 2 2 19 2 16 18
20 2 3 19 4 16 18
20 2 2 19 5 16 18
20 2 2 19 6 16 18
21 2 1 18 2 16 18
21 2 4 18 2 16 18
21 2 1 18 3 16 18
21 2 2 18 4 16 18
21 2 4 18 4 16 18
21 2 2 18 5 16 18
21 2 3 18 6 16 18
21 2 4 19 3 16 18
21 2 3 19 5 16 18
21 2 2 19 6 16 18
22 2 1 18 2 16 18
22 2 2 18 2 16 18
22 2 3 18 3 16 18
22 2 4 18 3 16 18
22 2 2 18 4 16 18
22 2 2 18 5 16 18
22 2 4 19 2 16 18
22 2 3 19 4 16 18
22 2 1 19 5 16 18
22 2 4 19 5 16 18
23 3 1 18 2 20 18
23 3 2 18 2 20 18
23 3 3 18 2 20 18
23 3 4 18 2 20 18
23 3 3 18 3 20 18
23 3 4 18 3 20 18
23 3 2 18 4 20 18
23 3 4 18 4 20 18
23 3 2 18 5 20 18
23 3 2 18 6 20 18
23 3 4 18 6 20 18
23 3 1 19 3 20 18
23 3 1 19 4 20 18
23 3 3 19 4 20 18
23 3 1 19 6 20 18
23 3 3 19 6 20 18
24 3 3 18 2 20 18
24 3 3 18 3 20 18
24 3 4 18 3 20 18
24 3 2 18 4 20 18
24 3 4 18 5 20 18
24 3 1 18 6 20 18
24 3 2 18 6 20 18
24 3 4 18 6 20 18
24 3 1 19 2 20 18
24 3 2 19 2 20 18
24 3 4 19 2 20 18
24 3 1 19 3 20 18
24 3 1 19 4 20 18
24 3 3 19 4 20 18
24 3 2 19 5 20 18
24 3 3 19 5 20 18
25 1 2 19 2 16 19
25 1 3 19 2 16 19
25 1 4 19 2 16 19
25 1 2 19 3 16 19
25 1 3 19 3 16 19
25 1 4 19 3 16 19
25 1 1 19 4 16 19
25 1 2 19 4 16 19
25 1 3 19 4 16 19
25 1 2 19 5 16 19
25 1 3 19 5 16 19
25 1 1 19 6 16 19
25 1 4 19 6 16 19
25 1 1 20 2 16 19
25 1 1 20 3 16 19
25 1 4 20 4 16 19
25 1 1 20 5 16 19
25 1 4 20 5 16 19
25 1 2 20 6 16 19
25 1 3 20 6 16 19
26 3 2 19 2 20 19
26 3 3 19 2 20 19
26 3 4 19 2 20 19
26 3 1 19 3 20 19
26 3 2 19 3 20 19
26 3 3 19 3 20 19
26 3 4 19 3 20 19
26 3 4 19 4 20 19
26 3 2 19 5 20 19
26 3 3 19 5 20 19
26 3 4 19 5 20 19
26 3 1 20 2 20 19
26 3 2 20 4 20 19
26 3 1 20 5 20 19
26 3 1 20 6 20 19
26 3 3 20 6 20 19
27 2 3 20 4 16 20
27 2 1 20 5 16 20
27 2 2 20 5 16 20
27 2 4 20 5 16 20
27 2 4 20 6 16 20
27 2 1 21 2 16 20
27 2 4 21 2 16 20
27 2 2 21 4 16 20
27 2 3 21 5 16 20
27 2 2 21 6 16 20
28 2 1 20 3 16 20
28 2 2 20 3 16 20
28 2 3 20 4 16 20
28 2 3 20 6 16 20
28 2 2 21 2 16 20
28 2 4 21 3 16 20
28 2 2 21 4 16 20
28 2 4 21 4 16 20
28 2 4 21 5 16 20
28 2 1 21 6 16 20
29 2 1 20 2 16 20
29 2 3 20 2 16 20
29 2 4 20 2 16 20
29 2 1 20 3 16 20
29 2 3 20 3 16 20
29 2 2 20 5 16 20
29 2 2 20 6 16 20
29 2 2 21 3 16 20
29 2 4 21 3 16 20
29 2 4 21 4 16 20
30 2 2 20 2 16 20
30 2 3 20 2 16 20
30 2 1 20 3 16 20
30 2 2 20 3 16 20
30 2 4 20 3 16 20
30 2 1 20 5 16 20
30 2 3 20 5 16 20
30 2 2 21 5 16 20
30 2 4 21 5 16 20
30 2 4 21 6 16 20
31 3 1 20 2 20 20
31 3 2 20 2 20 20
31 3 2 20 3 20 20
31 3 3 20 3 20 20
31 3 4 20 3 20 20
31 3 2 20 4 20 20
31 3 3 20 4 20 20
31 3 4 20 4 20 20
31 3 4 20 5 20 20
31 3 1 20 6 20 20
31 3 3 20 6 20 20
31 3 3 21 2 20 20
31 3 1 21 3 20 20
31 3 1 21 4 20 20
31 3 2 21 5 20 20
31 3 4 21 6 20 20
32 3 2 20 2 20 20
32 3 3 20 2 20 20
32 3 4 20 2 20 20
32 3 2 20 4 20 20
32 3 4 20 4 20 20
32 3 1 20 5 20 20
32 3 3 20 5 20 20
32 3 2 20 6 20 20
32 3 3 20 6 20 20
32 3 4 20 6 20 20
32 3 1 21 2 20 20
32 3 1 21 3 20 20
32 3 2 21 3 20 20
32 3 3 21 3 20 20
32 3 4 21 3 20 20
32 3 1 21 6 20 20
33 3 1 20 3 20 20
33 3 3 20 3 20 20
33 3 4 20 3 20 20
33 3 1 20 5 20 20
33 3 2 20 5 20 20
33 3 3 20 5 20 20
33 3 2 20 6 20 20
33 3 1 21 2 20 20
33 3 2 21 2 20 20
33 3 3 21 2 20 20
33 3 4 21 2 20 20
33 3 2 21 4 20 20
33 3 3 21 4 20 20
33 3 4 21 4 20 20
33 3 4 21 5 20 20
33 3 1 21 6 20 20
34 2 4 21 2 16 21
34 2 2 21 3 16 21
34 2 3 21 4 16 21
34 2 3 21 5 16 21
34 2 4 22 3 16 21
34 2 4 22 4 16 21
34 2 1 22 5 16 21
34 2 2 22 5 16 21
34 2 1 22 6 16 21
34 2 2 22 6 16 21
35 3 2 21 2 20 21
35 3 3 21 2 20 21
35 3 1 21 3 20 21
35 3 2 21 3 20 21
35 3 4 21 3 20 21
35 3 4 21 4 20 21
35 3 1 21 5 20 21
35 3 3 21 5 20 21
35 3 3 21 6 20 21
35 3 1 22 2 20 21
35 3 3 22 3 20 21
35 3 1 22 4 20 21
35 3 2 22 4 20 21
35 3 2 22 5 20 21
35 3 4 22 5 20 21
35 3 4 22 6 20 21
36 2 3 22 2 16 22
36 2 4 22 2 16 22
36 2 2 22 3 16 22
36 2 3 22 5 16 22
36 2 4 22 5 16 22
36 2 1 22 6 16 22
36 2 2 22 6 16 22
36 2 1 23 3 16 22
36 2 4 23 3 16 22
36 2 2 23 5 16 22
37 2 2 22 2 16 22
37 2 3 22 3 16 22
37 2 1 22 4 16 22
37 2 2 22 5 16 22
37 2 3 22 5 16 22
37 2 4 22 5 16 22
37 2 2 22 6 16 22
37 2 4 23 3 16 22
37 2 4 23 4 16 22
37 2 1 23 6 16 22
38 2 2 22 2 16 22
38 2 4 22 2 16 22
38 2 1 22 3 16 22
38 2 4 22 6 16 22
38 2 2 23 3 16 22
38 2 4 23 3 16 22
38 2 1 23 4 16 22
38 2 2 23 5 16 22
38 2 3 23 5 16 22
38 2 3 23 6 16 22
39 2 3 23 2 16 23
39 2 2 23 3 16 23
39 2 1 23 4 16 23
39 2 3 23 4 16 23
39 2 4 23 4 16 23
39 2 1 23 6 16 23
39 2 2 23 6 16 23
39 2 4 23 6 16 23
39 2 2 24 5 16 23
39 2 4 24 5 16 23
40 2 1 23 2 16 23
40 2 4 23 2 16 23
40 2 4 23 3 16 23
40 2 2 23 6 16 23
40 2 2 24 2 16 23
40 2 1 24 4 16 23
40 2 3 24 4 16 23
40 2 2 24 5 16 23
40 2 4 24 5 16 23
40 2 3 24 6 16 23
41 3 1 23 2 20 23
41 3 3 23 2 20 23
41 3 4 23 2 20 23
41 3 1 23 3 20 23
41 3 2 23 3 20 23
41 3 3 23 3 20 23
41 3 1 23 4 20 23
41 3 1 23 5 20 23
41 3 4 23 5 20 23
41 3 2 24 2 20 23
41 3 4 24 3 20 23
41 3 3 24 4 20 23
41 3 4 24 4 20 23
41 3 2 24 5 20 23
41 3 2 24 6 20 23
41 3 3 24 6 20 23
42 3 2 23 2 20 23
42 3 1 23 3 20 23
42 3 2 23 4 20 23
42 3 3 23 5 20 23
42 3 4 23 5 20 23
42 3 2 23 6 20 23
42 3 1 24 2 20 23
42 3 3 24 2 20 23
42 3 2 24 3 20 23
42 3 3 24 3 20 23
42 3 4 24 3 20 23
42 3 1 24 4 20 23
42 3 4 24 4 20 23
42 3 1 24 5 20 23
42 3 3 24 6 20 23
42 3 4 24 6 20 23
43 3 2 24 2 20 24
43 3 2 24 3 20 24
43 3 1 24 4 20 24
43 3 1 24 5 20 24
43 3 2 24 5 20 24
43 3 4 24 5 20 24
43 3 1 24 6 20 24
43 3 1 25 2 20 24
43 3 3 25 2 20 24
43 3 3 25 3 20 24
43 3 4 25 3 20 24
43 3 2 25 4 20 24
43 3 3 25 4 20 24
43 3 4 25 4 20 24
43 3 3 25 5 20 24
43 3 4 25 6 20 24
44 3 1 26 2 20 26
44 3 2 26 2 20 26
44 3 3 26 2 20 26
44 3 2 26 3 20 26
44 3 4 26 3 20 26
44 3 3 26 5 20 26
44 3 3 26 6 20 26
44 3 1 27 3 20 26
44 3 2 27 4 20 26
44 3 3 27 4 20 26
44 3 4 27 4 20 26
44 3 1 27 5 20 26
44 3 2 27 5 20 26
44 3 4 27 5 20 26
44 3 1 27 6 20 26
44 3 4 27 6 20 26
45 3 4 26 2 20 26
45 3 2 26 5 20 26
45 3 4 26 5 20 26
45 3 2 26 6 20 26
45 3 3 26 6 20 26
45 3 1 27 2 20 26
45 3 2 27 2 20 26
45 3 3 27 2 20 26
45 3 1 27 3 20 26
45 3 2 27 3 20 26
45 3 3 27 3 20 26
45 3 4 27 3 20 26
45 3 1 27 4 20 26
45 3 3 27 4 20 26
45 3 1 27 5 20 26
45 3 4 27 6 20 26
46 3 1 27 2 20 27
46 3 3 27 3 20 27
46 3 2 27 4 20 27
46 3 4 27 4 20 27
46 3 1 27 5 20 27
46 3 3 27 5 20 27
46 3 1 27 6 20 27
46 3 4 27 6 20 27
46 3 2 28 2 20 27
46 3 4 28 2 20 27
46 3 1 28 3 20 27
46 3 2 28 3 20 27
46 3 3 28 4 20 27
46 3 2 28 5 20 27
46 3 4 28 5 20 27
46 3 3 28 6 20 27
47 1 1 29 2 16 29
47 1 3 29 3 16 29
47 1 4 29 3 16 29
47 1 1 29 4 16 29
47 1 2 29 5 16 29
47 1 3 29 5 16 29
47 1 3 29 6 16 29
47 1 2 30 2 16 29
47 1 3 30 2 16 29
47 1 4 30 2 16 29
47 1 1 30 3 16 29
47 1 2 30 3 16 29
47 1 2 30 4 16 29
47 1 3 30 4 16 29
47 1 4 30 4 16 29
47 1 1 30 5 16 29
47 1 4 30 5 16 29
47 1 1 30 6 16 29
47 1 2 30 6 16 29
47 1 4 30 6 16 29
48 1 1 29 2 16 29
48 1 3 29 2 16 29
48 1 4 29 2 16 29
48 1 2 29 3 16 29
48 1 3 29 3 16 29
48 1 4 29 3 16 29
48 1 2 29 4 16 29
48 1 3 29 4 16 29
48 1 4 29 4 16 29
48 1 1 29 5 16 29
48 1 3 29 5 16 29
48 1 2 29 6 16 29
48 1 2 30 2 16 29
48 1 1 30 3 16 29
48 1 1 30 4 16 29
48 1 2 30 5 16 29
48 1 4 30 5 16 29
48 1 1 30 6 16 29
48 1 3 30 6 16 29
48 1 4 30 6 16 29
49 1 2 29 2 16 29
49 1 3 29 2 16 29
49 1 4 29 2 16 29
49 1 2 29 3 16 29
49 1 4 29 3 16 29
49 1 3 29 4 16 29
49 1 2 29 5 16 29
49 1 3 29 5 16 29
49 1 4 29 5 16 29
49 1 1 29 6 16 29
49 1 2 29 6 16 29
49 1 4 29 6 16 29
49 1 1 30 2 16 29
49 1 1 30 3 16 29
49 1 3 30 3 16 29
49 1 1 30 4 16 29
49 1 2 30 4 16 29
49 1 4 30 4 16 29
49 1 1 30 5 16 29
49 1 3 30 6 16 29
50 2 4 31 3 16 31
50 2 1 31 5 16 31
50 2 2 31 5 16 31
50 2 1 32 2 16 31
50 2 4 32 2 16 31
50 2 2 32 3 16 31
50 2 3 32 3 16 31
50 2 2 32 4 16 31
50 2 3 32 6 16 31
50 2 4 32 6 16 31
51 2 3 31 2 16 31
51 2 4 31 2 16 31
51 2 2 31 4 16 31
51 2 2 32 2 16 31
51 2 1 32 4 16 31
51 2 3 32 4 16 31
51 2 4 32 4 16 31
51 2 1 32 5 16 31
51 2 2 32 6 16 31
51 2 4 32 6 16 31
52 2 2 31 2 16 31
52 2 3 31 2 16 31
52 2 4 31 3 16 31
52 2 2 31 4 16 31
52 2 1 31 6 16 31
52 2 1 32 3 16 31
52 2 4 32 4 16 31
52 2 3 32 5 16 31
52 2 4 32 5 16 31
52 2 2 32 6 16 31
53 2 2 31 3 16 31
53 2 2 31 4 16 31
53 2 2 31 6 16 31
53 2 3 31 6 16 31
53 2 4 31 6 16 31
53 2 4 32 2 16 31
53 2 3 32 3 16 31
53 2 4 32 3 16 31
53 2 1 32 4 16 31
53 2 1 32 6 16 31
54 2 3 31 2 16 31
54 2 2 31 3 16 31
54 2 3 31 3 16 31
54 2 2 31 5 16 31
54 2 4 31 6 16 31
54 2 1 32 3 16 31
54 2 4 32 4 16 31
54 2 4 32 5 16 31
54 2 1 32 6 16 31
54 2 2 32 6 16 31
55 1 2 32 2 16 32
55 1 3 32 2 16 32
55 1 4 32 2 16 32
55 1 1 32 3 16 32
55 1 2 32 3 16 32
55 1 4 32 3 16 32
55 1 3 32 4 16 32
55 1 3 32 5 16 32
55 1 2 32 6 16 32
55 1 4 32 6 16 32
55 1 1 33 2 16 32
55 1 3 33 3 16 32
55 1 1 33 4 16 32
55 1 2 33 4 16 32
55 1 4 33 4 16 32
55 1 1 33 5 16 32
55 1 2 33 5 16 32
55 1 4 33 5 16 32
55 1 1 33 6 16 32
55 1 3 33 6 16 32
56 3 3 39 3 20 39
56 3 1 39 4 20 39
56 3 2 39 4 20 39
56 3 3 39 4 20 39
56 3 1 39 5 20 39
56 3 2 39 5 20 39
56 3 4 39 5 20 39
56 3 3 39 6 20 39
56 3 1 40 2 20 39
56 3 2 40 2 20 39
56 3 4 40 2 20 39
56 3 1 40 3 20 39
56 3 2 40 3 20 39
56 3 4 40 3 20 39
56 3 4 40 4 20 39
56 3 3 40 5 20 39
57 2 1 43 5 16 43
57 2 3 43 6 16 43
57 2 2 44 2 16 43
57 2 4 44 2 16 43
57 2 2 44 4 16 43
57 2 3 44 4 16 43
57 2 2 44 5 16 43
57 2 4 44 5 16 43
