tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
24,3,16,320,18,160.0,1.0,x,0830-1830,x,0930-1930,1000-2000,0930-1930,x,x,0900-1900,0930-1930,0830-1830,x,0900-1900,x,x,x,0830-1830,1000-2000,1000-2000,1000-2000,x,x,0830-1830,x,1000-2000,0930-1930,0830-1830,x
25,3,16,320,18,160.0,1.0,x,0930-1930,1000-2000,x,1000-2000,0900-1900,x,x,0830-1830,x,0830-1830,0930-1930,0830-1830,x,x,1000-2000,x,0930-1930,0900-1900,0930-1930,x,x,x,0830-1830,0830-1830,0830-1830,0900-1900,x
26,3,16,320,18,160.0,1.0,x,x,0930-1930,1000-2000,0930-1930,1000-2000,x,x,x,0900-1900,0930-1930,0830-1830,0930-1930,x,x,0830-1830,1000-2000,1000-2000,0930-1930,x,x,x,0930-1930,0900-1900,x,0900-1900,1000-2000,x
27,2,10,160,19,80.0,0.5,x,0930-1730,x,1000-1800,x,x,x,x,0900-1700,x,1000-1800,x,1030-1830,x,x,x,1030-1830,0930-1730,x,x,x,x,1030-1830,x,1000-1800,x,1030-1830,x
28,2,10,160,19,80.0,0.5,x,0900-1700,x,1000-1800,x,x,x,x,1030-1830,1030-1830,x,0930-1730,x,x,x,1030-1830,x,x,1000-1800,x,x,x,x,x,0930-1730,1030-1830,1030-1830,x
29,2,10,160,19,80.0,0.5,x,x,x,0900-1700,1000-1800,x,x,x,1000-1800,x,0930-1730,1030-1830,x,x,x,x,1030-1830,1030-1830,x,x,x,x,x,0900-1700,x,1000-1800,0930-1730,x
30,2,10,160,19,80.0,0.5,x,0900-1700,x,0900-1700,x,x,x,x,0900-1700,0930-1730,x,x,1030-1830,x,x,0930-1730,x,x,0900-1700,x,x,x,1030-1830,1000-1800,0900-1700,x,x,x
31,3,16,320,20,160.0,1.0,x,x,1000-2000,1030-2030,1000-2000,1000-2000,x,x,1100-2100,1000-2000,1000-2000,x,1030-2030,x,x,1100-2100,1030-2030,0930-1930,1000-2000,x,x,x,1030-2030,x,1000-2000,1030-2030,1100-2100,x
32,3,16,320,20,160.0,1.0,x,0930-1930,1100-2100,1100-2100,x,1100-2100,x,x,0930-1930,x,1100-2100,1000-2000,1000-2000,x,x,1030-2030,1000-2000,1000-2000,0930-1930,x,x,x,1100-2100,1100-2100,1100-2100,0930-1930,x,x
33,1,20,320,21,160.0,1.0,x,1000-1800,1130-1930,1130-1930,1030-1830,1100-1900,x,x,1130-1930,1030-1830,1000-1800,1030-1830,1100-1900,x,x,1130-1930,1100-1900,1000-1800,1100-1900,1130-1930,x,x,1000-1800,1000-1800,1130-1930,1130-1930,1130-1930,x
