"Seq", "Problem", "dmd_num", "ttbnd_num", "wkd_scen", "ash_num", "dmd_file", "basemix_file", "ttbnd_file", "wkd_file", "min_file", "us1", "us2", "usb", "budget", "ptfrac", "solver", "timelimit", "mipgap", "sol_status", "problem", "MIP_obj", "tot_cap", "phase1_sol_status", "us1_cost", "us2_cost", "phase2_obj", "timestamp", "phase2_sol_status"
"5222", "mwts04_d04_t1268_a02_ptub_tight", "4", "1268", "tight", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1268.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1268_a02_ptub_tight", "14055.5", "12680", "optimal", "316.5", "1059", "730", "2012-07-10 06:27:50.705430", "optimal"
"5223", "mwts04_d04_t1268_a01_ptub_moderate", "4", "1268", "moderate", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1268.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1268_a01_ptub_moderate", "14100.5", "12896", "optimal", "256.5", "947.9999999997", "727", "2012-07-10 06:39:26.364576", "optimal"
"5225", "mwts04_d04_t1268_a01_ptub_loose", "4", "1268", "loose", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1268.bnd", "exps/mwts04/inputs/mix/mwts04_loose.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1268_a01_ptub_loose", "13854", "12672", "optimal", "210", "972", "715", "2012-07-10 07:23:45.493530", "optimal"
"5232", "mwts04_d04_t1278_a02_ptub_loose", "4", "1278", "loose", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1278.bnd", "exps/mwts04/inputs/mix/mwts04_loose.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:unknown", "mwts04_d04_t1278_a02_ptub_loose", "14138.5", "12904", "optimal", "295.5", "939", "0", "2012-07-10 10:17:45.586172", "unknown"
"5233", "mwts04_d04_t1345_a01_ptub_tight", "4", "1345", "tight", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1345.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1345_a01_ptub_tight", "13567", "12856", "optimal", "573", "138", "1232", "2012-07-10 10:57:09.006339", "optimal"
"5234", "mwts04_d04_t1345_a02_ptub_tight", "4", "1345", "tight", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1345.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1345_a02_ptub_tight", "13561", "13120", "optimal", "369", "72", "1277", "2012-07-10 11:40:16.959269", "optimal"
"5239", "mwts04_d04_t1346_a01_ptub_tight", "4", "1346", "tight", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1346.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1346_a01_ptub_tight", "13396", "12904", "optimal", "492", "0", "1245", "2012-07-10 13:58:15.039971", "optimal"
"5240", "mwts04_d04_t1346_a02_ptub_tight", "4", "1346", "tight", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1346.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1346_a02_ptub_tight", "13441.5", "13020", "optimal", "415.5", "6", "1233", "2012-07-10 14:43:42.565976", "optimal"
"5241", "mwts04_d04_t1346_a01_ptub_moderate", "4", "1346", "moderate", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1346.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1346_a01_ptub_moderate", "13368", "12936", "optimal", "432", "0", "1232", "2012-07-10 15:09:29.135689", "optimal"
"5243", "mwts04_d04_t1346_a01_ptub_loose", "4", "1346", "loose", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1346.bnd", "exps/mwts04/inputs/mix/mwts04_loose.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1346_a01_ptub_loose", "13444", "13024", "optimal", "399", "21", "1224", "2012-07-10 16:01:14.169348", "optimal"
"5245", "mwts04_d04_t1347_a01_ptub_tight", "4", "1347", "tight", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1347.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1347_a01_ptub_tight", "13408.5", "12936", "optimal", "469.5", "3", "1252", "2012-07-10 16:50:47.497014", "optimal"
"5249", "mwts04_d04_t1347_a01_ptub_loose", "4", "1347", "loose", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1347.bnd", "exps/mwts04/inputs/mix/mwts04_loose.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1347_a01_ptub_loose", "13375.5", "12948", "optimal", "421.5", "6", "1262", "2012-07-10 18:33:32.128024", "optimal"
"5253", "mwts04_d04_t1348_a01_ptub_moderate", "4", "1348", "moderate", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1348.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1348_a01_ptub_moderate", "13442.5", "13000", "optimal", "439.5", "3", "1244", "2012-07-10 20:24:31.984513", "optimal"
"5257", "mwts04_d04_t1356_a01_ptub_tight", "4", "1356", "tight", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1356.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1356_a01_ptub_tight", "13433.5", "12880", "optimal", "499.5", "54", "1228", "2012-07-10 22:06:23.041366", "optimal"
"5258", "mwts04_d04_t1356_a02_ptub_tight", "4", "1356", "tight", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1356.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1356_a02_ptub_tight", "13409", "12938", "optimal", "438", "33", "1286", "2012-07-10 22:51:46.741852", "optimal"
"5259", "mwts04_d04_t1356_a01_ptub_moderate", "4", "1356", "moderate", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1356.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1356_a01_ptub_moderate", "13405", "12940", "optimal", "438", "27", "1243", "2012-07-10 23:16:05.038611", "optimal"
"5260", "mwts04_d04_t1356_a02_ptub_moderate", "4", "1356", "moderate", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1356.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1356_a02_ptub_moderate", "13493.5", "12946", "optimal", "448.5", "99", "1245", "2012-07-10 23:57:48.138338", "optimal"
"5263", "mwts04_d04_t1357_a01_ptub_tight", "4", "1357", "tight", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1357.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1357_a01_ptub_tight", "13607.5", "13120", "optimal", "451.5", "36", "1238", "2012-07-11 01:14:16.146234", "optimal"
"5264", "mwts04_d04_t1357_a02_ptub_tight", "4", "1357", "tight", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1357.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1357_a02_ptub_tight", "13527", "12978", "optimal", "438", "111", "1238", "2012-07-11 02:05:43.414759", "optimal"
"5269", "mwts04_d04_t1358_a01_ptub_tight", "4", "1358", "tight", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1358.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1358_a01_ptub_tight", "13405.5", "12918", "optimal", "487.5", "0", "1263", "2012-07-11 04:32:51.948939", "optimal"
"5270", "mwts04_d04_t1358_a02_ptub_tight", "4", "1358", "tight", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1358.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1358_a02_ptub_tight", "13370.5", "12970", "optimal", "400.5", "0", "1250", "2012-07-11 05:10:34.519672", "optimal"
"5271", "mwts04_d04_t1358_a01_ptub_moderate", "4", "1358", "moderate", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1358.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1358_a01_ptub_moderate", "13530", "13098", "optimal", "420", "12", "1239", "2012-07-11 05:47:50.861771", "optimal"
"5275", "mwts04_d04_t1367_a01_ptub_tight", "4", "1367", "tight", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1367.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1367_a01_ptub_tight", "13396", "12904", "optimal", "492", "0", "1213", "2012-07-11 07:35:10.969853", "optimal"
"5276", "mwts04_d04_t1367_a02_ptub_tight", "4", "1367", "tight", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1367.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1367_a02_ptub_tight", "13372", "12952", "optimal", "420", "0", "1224", "2012-07-11 08:12:12.895461", "optimal"
"5277", "mwts04_d04_t1367_a01_ptub_moderate", "4", "1367", "moderate", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1367.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1367_a01_ptub_moderate", "13485", "13020", "optimal", "462", "3", "1229", "2012-07-11 08:34:38.094772", "optimal"
"5279", "mwts04_d04_t1367_a01_ptub_loose", "4", "1367", "loose", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1367.bnd", "exps/mwts04/inputs/mix/mwts04_loose.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1367_a01_ptub_loose", "13368", "12936", "optimal", "432", "0", "1217", "2012-07-11 09:23:33.104550", "optimal"
"5280", "mwts04_d04_t1367_a02_ptub_loose", "4", "1367", "loose", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1367.bnd", "exps/mwts04/inputs/mix/mwts04_loose.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1367_a02_ptub_loose", "13446", "13014", "optimal", "429", "3", "1223", "2012-07-11 10:04:45.099479", "optimal"
"5281", "mwts04_d04_t1368_a01_ptub_tight", "4", "1368", "tight", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1368.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1368_a01_ptub_tight", "13400", "12896", "optimal", "504", "0", "1284", "2012-07-11 10:34:30.936880", "optimal"
"5282", "mwts04_d04_t1368_a02_ptub_tight", "4", "1368", "tight", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1368.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1368_a02_ptub_tight", "13371", "12972", "optimal", "399", "0", "1213", "2012-07-11 11:13:46.332622", "optimal"
"5284", "mwts04_d04_t1368_a02_ptub_moderate", "4", "1368", "moderate", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1368.bnd", "exps/mwts04/inputs/mix/mwts04_moderate.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1368_a02_ptub_moderate", "13989.9999998", "13456", "optimal", "393.00000007362", "140.999999717769", "1242", "2012-07-11 12:29:18.636697", "optimal"
"5287", "mwts04_d04_t1378_a01_ptub_tight", "4", "1378", "tight", "1", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash01.mix", "exps/mwts04/inputs/mix/mwts04_1378.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1378_a01_ptub_tight", "13409", "12908", "optimal", "492", "9", "1239", "2012-07-11 13:40:04.049699", "optimal"
"5288", "mwts04_d04_t1378_a02_ptub_tight", "4", "1378", "tight", "2", "exps/mwts04/inputs/dmd/width02_orrn.dmd", "exps/mwts04/inputs/mix/mwts04_ash02.mix", "exps/mwts04/inputs/mix/mwts04_1378.bnd", "exps/mwts04/inputs/mix/mwts04_tight.wkd", "exps/mwts04/inputs/dmd/base.min", "1.5", "3", "1", "100000", "0.4", "gurobi", "1200", "0.02", "optimal:optimal", "mwts04_d04_t1378_a02_ptub_tight", "13457", "12974", "optimal", "447", "36", "1277", "2012-07-11 14:14:55.451694", "optimal"
